"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/12/1999","AQS","010270001","1","8.8","ug/m3 LC","37","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/15/1999","AQS","010270001","1","14.9","ug/m3 LC","57","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/18/1999","AQS","010270001","1","3.8","ug/m3 LC","16","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/21/1999","AQS","010270001","1","9","ug/m3 LC","38","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/24/1999","AQS","010270001","1","5.4","ug/m3 LC","23","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/27/1999","AQS","010270001","1","20.1","ug/m3 LC","68","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"01/30/1999","AQS","010270001","1","11.5","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/02/1999","AQS","010270001","1","13.6","ug/m3 LC","54","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/05/1999","AQS","010270001","1","7.2","ug/m3 LC","30","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/08/1999","AQS","010270001","1","11.4","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/11/1999","AQS","010270001","1","13.4","ug/m3 LC","54","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/14/1999","AQS","010270001","1","46.2","ug/m3 LC","127","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"02/17/1999","AQS","010270001","1","11.2","ug/m3 LC","47","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"03/19/1999","AQS","010270001","1","9.9","ug/m3 LC","41","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"03/28/1999","AQS","010270001","1","20.6","ug/m3 LC","69","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"03/31/1999","AQS","010270001","1","18.2","ug/m3 LC","64","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/03/1999","AQS","010270001","1","15.2","ug/m3 LC","58","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/06/1999","AQS","010270001","1","16.7","ug/m3 LC","61","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/09/1999","AQS","010270001","1","22.4","ug/m3 LC","73","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/12/1999","AQS","010270001","1","7.6","ug/m3 LC","32","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/15/1999","AQS","010270001","1","12.3","ug/m3 LC","51","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/18/1999","AQS","010270001","1","9.6","ug/m3 LC","40","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/19/1999","AQS","010270001","1","11.4","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/21/1999","AQS","010270001","1","11.4","ug/m3 LC","48","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/29/1999","AQS","010270001","1","8.5","ug/m3 LC","35","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"04/30/1999","AQS","010270001","1","4.7","ug/m3 LC","20","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/03/1999","AQS","010270001","1","14.9","ug/m3 LC","57","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/06/1999","AQS","010270001","1","8.8","ug/m3 LC","37","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/09/1999","AQS","010270001","1","21.9","ug/m3 LC","72","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/12/1999","AQS","010270001","1","15.7","ug/m3 LC","59","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/15/1999","AQS","010270001","1","20.1","ug/m3 LC","68","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/18/1999","AQS","010270001","1","18.9","ug/m3 LC","65","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/21/1999","AQS","010270001","1","17.9","ug/m3 LC","63","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/24/1999","AQS","010270001","1","9","ug/m3 LC","38","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/27/1999","AQS","010270001","1","4.5","ug/m3 LC","19","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"05/30/1999","AQS","010270001","1","19.2","ug/m3 LC","66","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/02/1999","AQS","010270001","1","12.8","ug/m3 LC","52","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/05/1999","AQS","010270001","1","23.6","ug/m3 LC","75","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/08/1999","AQS","010270001","1","27.4","ug/m3 LC","83","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/18/1999","AQS","010270001","1","39.2","ug/m3 LC","110","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/20/1999","AQS","010270001","1","14.5","ug/m3 LC","56","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/23/1999","AQS","010270001","1","23","ug/m3 LC","74","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/26/1999","AQS","010270001","1","15.3","ug/m3 LC","58","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"06/29/1999","AQS","010270001","1","22.8","ug/m3 LC","74","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/02/1999","AQS","010270001","1","25.3","ug/m3 LC","79","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/05/1999","AQS","010270001","1","14.6","ug/m3 LC","56","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/08/1999","AQS","010270001","1","20.5","ug/m3 LC","69","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/11/1999","AQS","010270001","1","17.3","ug/m3 LC","62","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/14/1999","AQS","010270001","1","22.5","ug/m3 LC","73","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/17/1999","AQS","010270001","1","20","ug/m3 LC","68","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/20/1999","AQS","010270001","1","29.3","ug/m3 LC","87","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/23/1999","AQS","010270001","1","32.1","ug/m3 LC","93","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/26/1999","AQS","010270001","1","30.4","ug/m3 LC","89","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"07/29/1999","AQS","010270001","1","23.4","ug/m3 LC","75","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/01/1999","AQS","010270001","1","39.4","ug/m3 LC","111","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/04/1999","AQS","010270001","1","40.1","ug/m3 LC","112","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/07/1999","AQS","010270001","1","37.2","ug/m3 LC","105","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/10/1999","AQS","010270001","1","31.5","ug/m3 LC","92","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/16/1999","AQS","010270001","1","29","ug/m3 LC","87","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/19/1999","AQS","010270001","1","36.3","ug/m3 LC","103","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/22/1999","AQS","010270001","1","32.1","ug/m3 LC","93","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"08/28/1999","AQS","010270001","1","44.6","ug/m3 LC","123","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/03/1999","AQS","010270001","1","39.5","ug/m3 LC","111","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/06/1999","AQS","010270001","1","25.8","ug/m3 LC","80","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/15/1999","AQS","010270001","1","15.5","ug/m3 LC","58","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/18/1999","AQS","010270001","1","23.1","ug/m3 LC","74","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/21/1999","AQS","010270001","1","15.4","ug/m3 LC","58","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/24/1999","AQS","010270001","1","13.9","ug/m3 LC","55","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/27/1999","AQS","010270001","1","1.6","ug/m3 LC","7","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"09/30/1999","AQS","010270001","1","9.6","ug/m3 LC","40","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/03/1999","AQS","010270001","1","21.3","ug/m3 LC","70","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/09/1999","AQS","010270001","1","10.4","ug/m3 LC","43","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/12/1999","AQS","010270001","1","14.6","ug/m3 LC","56","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/15/1999","AQS","010270001","1","32.8","ug/m3 LC","95","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/18/1999","AQS","010270001","1","17.1","ug/m3 LC","62","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/21/1999","AQS","010270001","1","16","ug/m3 LC","59","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/24/1999","AQS","010270001","1","8.3","ug/m3 LC","35","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/27/1999","AQS","010270001","1","36.6","ug/m3 LC","104","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"10/30/1999","AQS","010270001","1","26.9","ug/m3 LC","82","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"11/02/1999","AQS","010270001","1","7.5","ug/m3 LC","31","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"11/05/1999","AQS","010270001","1","17","ug/m3 LC","61","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"11/16/1999","AQS","010270001","1","9.7","ug/m3 LC","40","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"11/17/1999","AQS","010270001","1","17.4","ug/m3 LC","62","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"11/25/1999","AQS","010270001","1","9.5","ug/m3 LC","40","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"11/26/1999","AQS","010270001","1","8.7","ug/m3 LC","36","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"11/29/1999","AQS","010270001","1","18","ug/m3 LC","63","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/08/1999","AQS","010270001","1","14.7","ug/m3 LC","56","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/11/1999","AQS","010270001","1","8.8","ug/m3 LC","37","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/14/1999","AQS","010270001","1","3.3","ug/m3 LC","14","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/17/1999","AQS","010270001","1","8","ug/m3 LC","33","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/20/1999","AQS","010270001","1","7","ug/m3 LC","29","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/23/1999","AQS","010270001","1","2.8","ug/m3 LC","12","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/26/1999","AQS","010270001","1","3.3","ug/m3 LC","14","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
"12/29/1999","AQS","010270001","1","9.9","ug/m3 LC","41","ASHLAND","1","100.0000","88101","PM2.5 - Local Conditions","","","01","Alabama","027","Clay","33.284928000866","-85.803608"
